"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"Valencia",394923,29,"MissedShots",0.820999984741211,0.357000007629395,0.036737535148859,"Suso","a",1129,"OpenPlay",2020,"LeftFoot",14925,"Sevilla",0,1,2020-12-22 16:30:00,"Marcos Acuña","Chipped"
"Valencia",405678,68,"SavedShot",0.704000015258789,0.251000003814697,0.00842285249382257,"Uros Racic","h",7330,"OpenPlay",2020,"RightFoot",15015,"Celta Vigo",2,0,2021-02-20 17:30:00,NA,"None"
"Valencia",419364,25,"SavedShot",0.818000030517578,0.54,0.0581795834004879,"Uros Racic","h",7330,"OpenPlay",2020,"RightFoot",15109,"Barcelona",2,3,2021-05-02 19:00:00,"José Gayá","Pass"
"Valencia",419361,9,"MissedShots",0.869000015258789,0.422000007629395,0.0359636321663857,"Antoine Griezmann","a",2270,"OpenPlay",2020,"Head",15109,"Barcelona",2,3,2021-05-02 19:00:00,"Clement Lenglet","Chipped"
"Valencia",420716,61,"BlockedShot",0.850999984741211,0.694000015258789,0.0452395789325237,"Marcos de Sousa","a",8933,"OpenPlay",2020,"RightFoot",15126,"Real Valladolid",3,0,2021-05-09 14:15:00,"Shon Weissman","Pass"
"Valencia",419381,84,"BlockedShot",0.820999984741211,0.457000007629395,0.0599465407431126,"Kevin Gameiro","h",2442,"OpenPlay",2020,"RightFoot",15109,"Barcelona",2,3,2021-05-02 19:00:00,"Thierry Correia","Pass"
"Valencia",391451,92,"MissedShots",0.873000030517578,0.522000007629395,0.0512895248830318,"Denis Cheryshev","h",2494,"OpenPlay",2020,"Head",14895,"Athletic Club",2,2,2020-12-12 13:00:00,"Manu Vallejo","Cross"
"Valencia",408352,72,"SavedShot",0.909000015258789,0.716999969482422,0.0495209693908691,"Alfonso","a",2521,"OpenPlay",2020,"LeftFoot",15035,"Villarreal",2,1,2021-03-05 20:00:00,"Manu Trigueros","Pass"
"Valencia",408350,69,"BlockedShot",0.85,0.597000007629395,0.0703333392739296,"Carlos Soler","h",2478,"OpenPlay",2020,"RightFoot",15035,"Villarreal",2,1,2021-03-05 20:00:00,"Maxi Gómez","Pass"
"Valencia",408334,42,"BlockedShot",0.766999969482422,0.480999984741211,0.0892921090126038,"Carlos Soler","h",2478,"DirectFreekick",2020,"RightFoot",15035,"Villarreal",2,1,2021-03-05 20:00:00,NA,"Standard"
